admin0name_en,admin0name_ar,admin0pcode,admin1name_en,admin1name_ar,admin1pcode,admin2name_en,admin2name_ar,admin2pcode,admin3name_en,admin3name_ar,admin3pcode,admin4name_en,admin4name_ar,column1,admin4pcode,location_name_en,location_name_ar,location_pcode,location_type,last_update_date,latitude_y,longitude_x,zone,aoc_rosc
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Hamidiyah,حميدية الشدادة,Hamidiyah,C7285,Hamidiyah,حميدية الشدادة - شدادة,C7285,Community,19/12/2018,35.95737,40.742234,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al wardiyah,الواردية الشدادة,Al wardiyah,C7286,Al wardiyah,الواردية الشدادة,C7286,Community,19/12/2018,35.959698,40.706335,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Kalka,كلكا,Kalka,C7287,Kalka,كلكا,C7287,Community,19/12/2018,35.962962,41.206036,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Suhaylah,سحيلان,Suhaylah,C7288,Suhaylah,سحيلان,C7288,Community,19/12/2018,35.966157,40.856857,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Jalib Nada,جليب ندى,Jalib Nada,C7289,Jalib Nada,جليب ندى,C7289,Community,19/12/2018,35.968375,41.001442,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Al 'Aloss,العلوص,Al 'Aloss,C7290,Al 'Aloss,العلوص,C7290,Community,19/12/2018,35.971212,40.528651,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Marfouaa,مرفوعة,Marfouaa,C7291,Marfouaa,مرفوعة,C7291,Community,19/12/2018,35.972429,40.479909,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Ar Rayhaniyah,الريحانية,Ar Rayhaniyah,C7292,Ar Rayhaniyah,الريحانية - مركدة,C7292,Community,19/12/2018,35.974948,41.20275,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Janfikhah,جنفيخة,Janfikhah,C7293,Janfikhah,جنفيخة,C7293,Community,19/12/2018,35.981421,40.844397,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Uwaynah,عوينة الشدادة,Uwaynah,C7294,Uwaynah,عوينة الشدادة,C7294,Community,19/12/2018,35.986021,40.833324,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Hawija,حويجة,Hawija,C7295,Hawija,حويجة - مركدة,C7295,Community,19/12/2018,35.996312,41.182801,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Jarouan,جروان,Jarouan,C7296,Jarouan,جروان,C7296,Community,19/12/2018,36.002766,40.43656,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Shadadah,شدادة,SY080002,Sufyan,صفيان,Sufyan,C7297,Sufyan,صفيان - شدادة,C7297,Community,19/12/2018,36.003428,40.690435,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Areesheh,العريشة,SY080005,Raj'an,رجعان,Raj'an,C7298,Raj'an,رجعان - العريشة,C7298,Community,19/12/2018,36.003766,40.361229,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,As-Safira,السفيرة,SY0207,Banan,بنان,SY020702,Azzira,عزيرة,Azzira,C7299,Azzira,عزيرة,C7299,Community,19/12/2018,36.004504,37.331146,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Mulayhan,مليحان,Mulayhan,C7300,Mulayhan,مليحان - مركدة,C7300,Community,19/12/2018,36.005548,41.096119,0,Syrian democratic forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Aleppo,حلب,SY02,Jebel Saman,جبل سمعان,SY0200,Hadher,الحاضر,SY020006,Wadi as Saghir,وادي الصغير,Wadi as Saghir,C7301,Wadi as Saghir,وادي الصغير,C7301,Community,19/12/2018,36.005905,37.060816,0,Government and allied forces
Syrian Arab Republic,الجمهورية العربية السورية,SY,Al-Hasakeh,الحسكة,SY08,Al-Hasakeh,مركز الحسكة,SY0800,Markada,مركدة,SY080003,Khwaybirah,خويبرة,Khwaybirah,C7302,Khwaybirah,خويبرة,C7302,Community,19/12/2018,36.013753,40.983474,0,Syrian democratic forces
